CODE_OA;NUM_OA;LIAISON;SENS;PR_OA;ABS_DEB;NUM_EXPLOIT;NOM_USAGE;FAMILLE;TYPE_OUVRAGE;MATERIAUX;DATE_MS;NBRE_TABLIERS;NBRE_TRAVEE;GABARIT;LONGUEUR;LARGEUR;SECT_COURANTE;IQOA;NOTE_URGENCE
673;A5_PP_40.5;1;3;100 +0524;100793;PP 2;PP 2;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.94;38.46;38.46;1;6
674;A5_PV_40.1;1;3;100 +0967;101236;PV 2;PV 3;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.23;41.56;41.56;1;0
675;A5_PP_42.9;1;3;102 +0914;103158;PP 3;PP 3;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;3.18;38.07;38.07;1;6
676;A5_PS_45.6;1;3;105 +0556;105790;PS 4;PS 7;PS;PIBA PSBA (Dalle Béton Armé);Béton armé;;1;4;0;58.9;10;10;2;8
677;A5_PS_47.2;1;3;107 +0242;107464;PS 5;PS 8;PS;PIBA PSBA (Dalle Béton Armé);Béton armé;;1;4;0;58.9;10;10;1;0
678;A5_PS_47.9;1;3;107 +0860;108082;PS 06;PS 09;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;4;0;71;10;10;2;6
679;A5_PV_49.4;1;3;109 +0420;109652;PV 3;PV 4;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.22;36.47;36.47;1;3
680;A5_PV_50.4;1;3;110 +0385;110619;PV 4;PV 5;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.16;36.64;36.64;2 S;30
681;A5_PAS_51.2;1;3;111 +0200;111427;PASSERELLE PIETONS;PAS 1;PAS;PIPBA PSPBA (Poutres BA);Béton armé;;1;2;0;38.9;3.5;3.5;2 S;24
682;A5_PP_51.3;1;3;111 +0275;111502;PP 4;PP 4;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.96;35.72;35.72;1;3
683;A5_PS_52.3;1;3;112 +0255;112488;PS 7;PS 10;PS;PIBA PSBA (Dalle Béton Armé);Béton armé;;1;4;0;62;10;10;1;8
684;A5_PP_53.1;1;3;113 +0140;113375;PP 5;PP 5;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.96;40.43;40.43;1;3
