CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
PS;3;3;207428;PS 3;Passage supérieur sur PISTE;
PS;3;3;209728;PS 4;Passage supérieur sur PISTE;
PS;3;3;210940;PS 5;Passage supérieur sur PISTE;
PS;3;3;212677;PS 6;Passage supérieur sur PISTE;
PS;3;3;213900;PS 7;Passage supérieur sur PISTE;
ECH;3;3;214400;A7-10;Tamensourt;
GARE;3;3;214400;GARE - SE;Gare de péage sur échangeur de Tamesnat;
PS;3;3;216430;PS 8;Passage supérieur sur PISTE;
PP;3;3;217442;PP2;Passage piéton N°2;
PS;3;3;219736;PS 9;Passage supérieur sur PISTE;
GARE;3;3;219823;GARE - SE;Gare de péage sur échangeur d''Amskroud;
PS;3;3;220538;PS 64;Passage supérieur sur RP1708;
PS;3;3;220700;PS 10;Passage supérieur sur PISTE;
PV;3;3;221893;PV30;;
PS;3;3;222020;PS 11;Passage supérieur sur PISTE;
PS;3;3;224016;PS 12;Passage supérieur sur PISTE;
AIRE;3;3;224199;A7-R6;Aire d''Argana;
PS;3;3;224840;PS 63;Passage supérieur sur PISTE;
PP;3;3;224840;PP28;Passage piéton N°28;
VIA;3;3;225000;VIA;Pont sur Oued Tensift;
PS;3;3;226478;PS 13;Passage supérieur sur PISTE;
AIRE;3;3;226600;A7-R7;Aire de Marrakech Ouest avec parking sécurisé;
PV;3;3;227383;PV29;;
VIA;3;3;227482;VIA;Pont sur Oued N’Taguennza;
PS;3;3;227929;PS 14;Passage supérieur sur PISTE;
PP;3;3;228432;PP27;Passage piéton N°27;
PS;3;3;228432;PS 62;Passage supérieur sur RN8;
PS;3;3;229019;PS 15;Passage supérieur sur PISTE;
PV;3;3;229734;PV2;;
PP;3;3;231035;PP3;Passage piéton N°3;
ECH;3;3;231300;A7-11;Marrakech Ouest;
GARE;3;3;231300;GARE - SE;Gare de péage sur échangeur de Marrakech Ouest;
PS;1;3;420;PS 15;Voie de contournement de Rabat;
PS;1;3;1080;PS 14;NC;
ECH;1;3;2300;A3-9;Temara;
PS;1;3;2530;PS 13;NC;
PAS;1;3;3000;PAS9;Passerelle piéton N°9 (projetée);
PV;1;3;3400;PV20;;
PV;1;3;5100;PV19;;
PP;1;3;5900;PP12;Passage piéton N°12;
PV;1;3;6900;PV18;;
PP;1;3;8400;PP11;Passage piéton N°11;
PS;1;3;9510;PS 12;RP 4009;
ECH;1;3;9520;A3-8;Ain Atiq;
VIA;1;3;10000;VIA;Pont sur oued Yqem;
PI;1;3;10600;PI 2;RP 4028;
PP;1;3;11400;PP10;Passage piéton N°10;
PV;1;3;12500;PV17;;
PP;1;3;13500;PP9;Passage piéton N°9;
PV;1;3;14500;PV16;;
PP;1;3;14800;PP8;Passage piéton N°8;
PAS;1;3;15000;PAS8;Passerelle piéton N°8 (projetée);
PP;1;3;15500;PP7bis;Passage piéton N°7bis;
ECH;1;3;16100;A3-7;Skhirat;
GARE;1;3;16100;GARE - SE;Gare de péage de Skhirat;
PS;1;3;16100;PS 11;RP 4030;
PP;1;3;16900;PP7;Passage piéton N°7;
PV;1;3;18600;PV15;;
PV;1;3;19500;PV14;;
PP;1;3;19900;PP6;Passage piéton N°6;
PP;1;3;20520;PP5;Passage piéton N°5;
PV;1;3;20800;PV13;;
PV;1;3;21950;PV12;;
PS;1;3;23330;PS 10;Non Classé;
VIA;1;3;23800;VIA;Pont sur oued Cherrat;
PS;1;3;24000;PS 9;RP 3331;
PV;1;3;25400;PV11;;
PV;1;3;26600;PV10;;
PP;1;3;27580;PP4;Passage piéton N°4;
PS;1;3;28480;PS 8;RP 3323;
ECH;1;3;28500;A3-6;Bouznika;
GARE;1;3;28500;GARE - SE;Gare de péage de Bouznika;
BPV;1;3;29600;GARE - BPV;Gare de péage pleine voie de Bouznika;
AIRE;1;3;35700;A3-R1;Aire de service de Bouznika;
PAS;1;3;35700;PAS7;Passerelle piéton N°7;
PP;1;3;40200;PP3;Passage piéton N°3;
PP;1;3;41700;PP2bis;Passage piéton N°2bis;
PS;1;3;42610;PS 7;RP 3304;
PV;1;3;43600;PV9;;
PV;1;3;45300;PV8;;
PAS;1;3;46100;PAS6;Passerelle piéton N°6 (projetée);
PP;1;3;46700;PP2;Passage piéton N°2;
ECH;1;3;47200;A3-5;Mohammedia est;
GARE;1;3;47200;GARE - SE;Gare de péage de Mohammedia Est;
PS;1;3;47320;PS 6;RP 3308;
VIA;1;3;48000;VIA;Pont sur oued Nfifick;
PV;1;3;48800;PV7;;
PI;1;3;49150;PI 1;Voie ferrée;
PV;1;3;49700;PV6;;
PS;1;3;51070;PS 5;RR 313;
ECH;1;3;51100;A3-4;Beni Yekhlef;
GARE;1;3;51100;GARE - SE;Gare de péage de Beni Yekhlef (projetée);
PV;1;3;51600;PV5;;
PS;1;3;52550;PS 4;Non classé;
PV;1;3;53100;PV4;;
PP;1;3;53700;PP1;Passage piéton N°1;
PV;1;3;54500;PV3;;
PAS;1;3;54800;PAS5;Passerelle piéton N°5 (projetée);
VIA;1;3;56000;VIA;Pont sur oued Mellah;
PS;1;3;56340;PS 3;Non Classé;
ECH;1;3;56520;A3-3;Mohammedia ouest;
PV;1;3;57000;PV2;;
PV;1;3;57930;PV1;;
BIF;1;3;58000;A3-2;Contournement Casablanca;
PI;1;3;60425;PI 1;Bretelle bifurcation Mohammedia;
PS;1;3;60800;PS 1;RN1;
PI;1;3;60976;PI 2;Piste;
PAS;1;3;61200;PAS3;Passerelle piéton N°3;
PAS;1;3;61600;PAS2;Passerelle piéton N°2;
PAS;1;3;61800;PAS1;Passerelle piéton N°1;
PS;1;3;62000;PS 1;RN 09;
PS;1;3;62889;PS 2;Piste;
PI;1;3;63430;PI 3;RP3002;
PI;1;3;64750;PI 4;RP 3 CT 1015;
PS;1;3;65418;PS 3;Piste;
PS;1;3;67001;PS 4;Piste;
PS;1;3;69247;PS 5;Piste;
BPV;1;3;69980;GARE - BV;Gare de péage pleine voie de Tit Mellil;
PV;1;3;70900;PV1;;
PS;1;3;71332;PS 6;RN9;
PS;1;3;72484;PS 7;RP3010;
GARE;1;3;72484;GARE - SE;Tit Mellil;
ECH;1;3;72484;A5-1;Tit Mellil;
PV;1;3;73354;PV2;;
PS;1;3;74153;PS 8;Piste;
PAS;1;3;74670;PAS1;Passerelle piéton N°1;
PS;1;3;76208;PS 9;Piste;
PAS;1;3;76400;PAS2;Passerelle piéton N°2;
PAS;1;3;76850;PAS3;Passerelle piéton N°3;
GARE;1;3;77389;GARE - SE;Casablanca Port;
PI;1;3;77389;PI 5;CT 1034;
ECH;1;3;77389;A5-2;Casablanca Port;
PS;1;3;78304;PS 10;Piste;
PAS;1;3;78900;PAS4;Passerelle piéton N°4;
PV;1;3;79090;PV3;;
PI;1;3;80100;PI 6;RR 315;
GARE;1;3;80100;GARE - SE;Casablanca Centre;
ECH;1;3;80100;A5-3;Casablanca Centre;
PAS;1;3;80400;PAS5;Passerelle piéton N°5;
PS;1;3;80900;PS 11;Piste;
PAS;1;3;81300;PAS6;Passerelle piéton N°6;
PS;1;3;81933;PS 12;Piste;
PV;1;3;82920;PV4;;
PAS;1;3;83700;PAS7;Passerelle piéton N°7;
AIRE;1;3;84600;A5-R1;Aire de Casablanca;
PS;1;3;85332;PS 13;Piste;
PAS;1;3;86025;PAS8;Passerelle piéton N°8;
BIF;1;3;86660;A5-4;RS114;
PS;1;3;86900;PS 1;RP3011;
PV;1;3;88600;PV1;;
PI;5;3;210262;PI 2;RP 4214;
PP;5;3;211560;PP9;Passage piéton N°9;
PAS;5;3;211662;PAS5;Passerelle piéton N°5;
PV;5;3;213152;PV17;;
VIA;5;3;213262;VIA;Pont sur Canal Boufekrane;
PP;5;3;214233;PP8;Passage piéton N°8;
PAS;5;3;214262;PAS4;Passerelle piéton N°4;
PV;5;3;214980;PV16;;
PS;5;3;215262;PS 7;NC;
PV;5;3;216206;PV15;;
PV;5;3;218713;PV14;;
VIA;5;3;219762;VIA;Pont sur Oued Sebou;
PV;5;3;220110;PV13;;
PV;5;3;221812;PV12;;
BPV;5;3;222762;GARE - BPV;Gare de péage pleine voie de Kenitra nord;
ECH;5;3;223262;A1-2;Kenitra Nord;
PV;5;3;223275;PV11;;
PI;5;3;223962;PI 1;Voie ferrée;
PS;5;3;224662;PS 6;RN 4;
PV;5;3;225954;PV10;;
PAS;5;3;229262;PAS3;Passerelle piéton N°3;
PV;5;3;229470;PV9;;
PV;5;3;230641;PV8;;
PS;5;3;232262;PS 5;NC;
PV;5;3;233810;PV7;;
PS;5;3;236562;PS 4;RR 405;
ECH;5;3;236762;A1-1;Kenitra centre;
AIRE;5;3;237562;A1-R1;Aire de Kenitra;
BPV;5;3;237562;GARE - BPV;Gare de péage pleine voie de Kenitra centre;
PV;5;3;240134;PV6;;
PP;5;3;241225;PP7;Passage piéton N°7;
PV;5;3;242362;PV5;;
PP;5;3;244533;PP6;Passage piéton N°6;
PV;5;3;245735;PV4;;
PV;5;3;246676;PV3;;
PS;5;3;249962;PS 3;RP 4268;
PP;5;3;252486;PP5;Passage piéton N°5;
PV;5;3;253626;PV2;;
PP;5;3;255765;PP4;Passage piéton N°4;
PS;5;3;256762;PS 2;RP 4002;
PAS;5;3;258362;PAS2;Passerelle piéton N°2;
PP;5;3;258364;PP3;Passage piéton N°3;
PP;5;3;260546;PP2;Passage piéton N°2;
PAS;5;3;260562;PAS1;Passerelle piéton N°1;
PV;5;3;262227;PV1;;
PP;5;3;263657;PP1;Passage piéton N°1;
BIF;5;3;265262;A1-0;RN6;
PAS;7;3;54;PAS4;Passerelle piéton N°4 (projetée);
PS;7;3;1037;PS 11;?;
PV;7;3;2737;PV11;;
PP;7;3;2737;PP1;Passage piéton N°1;
PV;7;3;3146;PV10;;
PAS;7;3;3537;PAS3;Passerelle piéton N°3 (projetée);
PAS;7;3;4537;PAS2;Passerelle piéton N°2 (projetée);
PS;7;3;4775;PS 10;?;
VIA;7;3;5594;VIA;Pont sur l''oued Negro2;
VIA;7;3;6037;VIA;Pont sur l''oued Negro1;
PI;7;3;6300;PI 7;Allyenne;
PV;7;3;8177;PV 9;;
PS;7;3;9517;PS 9;Cité devant Marina smir;
PV;7;3;10047;PV8;;
ECH;7;3;10117;A6-3;M''diq;
GARE;7;3;10117;GARE - SE;Gare de péage sur échangeur de Smir;
PI;7;3;10117;PI 5;Ech smir;
PV;7;3;10117;PV7;(BRET3 échangeur Smir);
BPV;7;3;10532;GARE - BPV;Gare de péage pleine voie de Smir;
PV;7;3;10937;PV6;;
PV;7;3;11465;PV5;;
PS;7;3;12009;PS 8;Saniat Torres;
PS;7;3;12824;PS 7;Cité devant Kabila;
PI;7;3;13748;PI 4;Cité devant Kabila;
VIA;7;3;14337;VIA;Pont sur l''oued Smir;
PS;7;3;15200;PS 6;Route barrage smir;
PI;7;3;16043;PI 3;Bouzeghlal;
PI;7;3;16237;PI 2;Ech M’diq;
GARE;7;3;16237;GARE - SE;Gare de péage sur échangeur de Mdiq;
ECH;7;3;16237;A6-2;Smir;
PV;7;3;17362;PV4;;
PV;7;3;19372;PV3;;
PV;7;3;20573;PV2;;
PS;7;3;21953;PS 5;Cité dépendant de Mallalyenne;
VIA;7;3;22384;VIA;Pont sur l''oued Allila 2;
VIA;7;3;22908;VIA;Pont sur l''oued Allila1;
PS;7;3;23353;PS 4;Cité dépendant de Mallalyenne;
PV;7;3;24387;PV1;;
PS;7;3;24557;PS 3;Mallalyenne;
PI;7;3;25325;PI 1;Cité devant salle des fêtes Sindibad;
PS;7;3;26379;PS 2;?;
PS;7;3;26928;PS 1;Cité devant Marjane;
PAS;7;3;27437;PAS1;Passerelle piéton N°1;
PS;7;3;27737;PS 1bis;Piste Cité Hjat laaroussa;
PS;7;3;28037;PS 0;Av FAR;
ECH;7;3;28037;A6-1;Tétouan (Yakouta);
ECH;101;3;-1;A3-1;Ain harrouda;
PS;101;3;-1;PS 2;RN 01;
PAS;101;3;-1;PAS4;Passerelle piéton N°4 (projetée);
PI;102;3;78100;PI 9;Voie ferrée;
GARE;102;3;79600;GARE - SE;Gare sur échangeur de El Jadida;
PV;102;3;80200;PV18;;
PS;102;3;80700;PS 30;Piste;
AIRE;102;3;81000;A51-R1;Aire de El Jadida;
PV;102;3;81150;PV19;;
ECH;102;3;81950;A51-1;El Jadida Est;
PS;102;3;81950;PS 31;Echangeur El Jadida;
PS;301;3;1000;PS 71;Bifurcation avec l’autoroute Marrakech - Agadir;
PV;301;3;1993;PV43;;
PV;301;3;3813;PV44;;
PP;301;3;5713;PP10;Passage piéton N°10;
PS;301;3;7479;PS 72;RP2004;
PI;301;3;8959;PI 20;Voie Ferrée;
PV;301;3;9773;PV45;;
PS;301;3;11413;PS 73;Piste;
PP;301;3;12033;PP11;Passage piéton N°11;
BPV;301;3;13000;GARE - BPV;Gare de péage pleine voie de Marrakech;
BPV;501;3;500;GARE - BPV;Gare de péage pleine voie de Tanger;
PS;501;3;1254;PS 22;Bifurcation avec la desserte du port Tanger Med;
PI;501;3;1254;PI 16;Bifurcation avec la desserte du port Tanger Med;
PV;501;3;1638;PV79;;
PV;501;3;1957;PV79;;
PV;5;3;202334;PV22;;
PV;5;3;203041;PV21;;
PV;5;3;204830;PV20;;
PP;5;3;205376;PP11;Passage piéton N°11;
PP;5;3;206483;PP10;Passage piéton N°10;
PV;5;3;207643;PV19;;
PV;5;3;208707;PV18;;
PS;1;3;89980;PS 2;Sidi maarrouf/Bouskoura;
PI;1;3;90960;PI 1;???;
PI;1;3;91750;PI 2;RP3009;
ECH;1;3;92200;A5-4;pénétrante terminale nord;
AIRE;1;3;92200;A5-R2;Aire sur la pénétrante terminale Nord;
PS;1;3;92200;PS 3;Pénétrante Terminale Nord;
PS;1;3;92234;PS 4;Pénétrante Terminale Nord;
BPV;1;3;93000;GARE - BPV;Gare de péage pleine voie de Nassim;
GARE;1;3;93000;GARE - PV;Gare pleine voie Nassim;
PS;1;3;94607;PS 5;CT1028;
PP;1;3;95200;PP1;Passage piéton N°1;
PV;1;3;95950;PV2;;
PI;1;3;97288;PI 3;Cpiste;
PI;1;3;97289;PI 4;CT1025;
PS;1;3;99526;PS 6;Piste;
PP;1;3;100524;PP2;Passage piéton N°2;
PV;1;3;100967;PV3;;
PP;1;3;102914;PP3;Passage piéton N°3;
PS;1;3;105556;PS 7;Voie Communale;
PS;1;3;107242;PS 8;RS103;
ECH;1;3;107860;A5-5;Had Soualem;
GARE;1;3;107860;GARE - SE;Gare sur échangeur de Had Soualem;
PS;1;3;107860;PS 9;Echangeur Had Swalem;
PV;1;3;109420;PV4;;
PV;1;3;109580;PV4;;
PV;1;3;110385;PV5;;
PAS;1;3;111200;PAS1;Passerelle piéton N°1;
PP;1;3;111275;PP4;Passage piéton N°4;
PS;1;3;112255;PS 10;CT1202;
PP;1;3;113140;PP5;Passage piéton N°5;
PV;1;3;114585;PV6;;
PAS;1;3;116000;PAS2;Passerelle piéton N°2;
PS;1;3;117622;PS 11;CT1208;
PI;1;3;118439;PI 5;CT1209;
PI;1;3;119157;PI 6;Voie ferrée;
PP;1;3;119399;PP6;Passage piéton N°6;
PV;1;3;120192;PV7;;
PP;1;3;121130;PP7;Passage piéton N°7;
PS;1;3;123209;PS 12;CT1325;
PS;1;3;124595;PS 13;Piste;
AIRE;1;3;125000;A5-R3;Aire de Bir Jdid;
PS;1;3;126343;PS 14;RS11;
ECH;1;3;126950;A5-6;Bir Jdid;
GARE;1;3;126950;GARE - SE;Gare sur échangeur de Bir Jdid;
PS;1;3;126950;PS 15;Bir Jdid;
PV;1;3;129620;PV8;;
PP;1;3;130582;PP8;Passage piéton N°8;
PV;1;3;131618;PV9;;
PS;1;3;133141;PS 16;CT1322;
PP;1;3;134185;PP9;Passage piéton N°9;
PV;1;3;135380;PV10;;
PV;1;3;137458;PV11;;
PAS;1;3;139090;PAS3;Passerelle piéton N°3;
PS;1;3;140120;PS 17;Piste;
PS;1;3;140950;PS 18;CT1321;
PP;1;3;142509;PP10;Passage piéton N°10;
ECH;1;3;142775;A5-7;Tnine Chtouka;
GARE;1;3;142775;GARE - SE;Gare sur échangeur de Tnine Chtouka;
PS;1;3;142775;PS 19;Tnine Chtouka ;
PS;1;3;143219;PS 20;CT1320;
PAS;1;3;144600;PAS4;Passerelle piéton N°4;
PS;1;3;145023;PS 21;Piste;
PV;1;3;146390;PV12;;
PP;1;3;147400;PP11;Passage piéton N°11;
PS;1;3;148130;PS 22;Piste;
PAS;1;3;148810;PAS5;Passerelle piéton N°5;
PV;1;3;149820;PV13;;
PV;1;3;152433;PV14;;
PI;1;3;154151;PI 7;RP3406;
PP;1;3;154443;PP12;Passage piéton N°12;
PV;1;3;155200;PV15;;
PS;1;3;157317;PS 23;Piste;
PS;1;3;158856;PS 24;Piste;
VIA;1;3;161000;VIA;Pont sur Oued Oum Rbia;
PS;1;3;161056;PS 25;Piste;
PS;1;3;161371;PS 26;RP3443;
PAS;1;3;161850;PAS6;Passerelle piéton N°6;
ECH;1;3;162311;A5-8;Azemmour;
PS;1;3;163311;PS 27;Echangeur Azemmour;
GARE;1;3;163311;GARE - SE;Gare sur échangeur de Azemmour;
PS;1;3;163512;PS 28;RP3426;
PS;1;3;164950;PS 29;Piste;
PV;1;3;165882;PV16;;
PV;1;3;167772;PV17;;
PI;1;3;168556;PI 8;Echangeur El Jadida Est;
ECH;1;3;168556;A5-9;El Jadida;
PI;2;3;117924;PI 4;RR 701;
ECH;2;3;121200;A2-4;Méknès Ouest;
PS;2;3;121380;PS 20;RP 7023;
PS;2;3;121717;PS 21;Echangeur Méknès Ouest;
PS;2;3;123025;PS 22;RP 7017;
AIRE;2;3;125000;A2-R4;Aire de Méknès;
GARE;2;3;125200;GARE - SE;Gare sur échangeur de Méknès Ouest;
PV;2;3;125574;PV27;;
PS;2;3;126878;PS 23;RP 7062;
PV;2;3;128973;PV28;;
PS;2;3;130330;PS 24;RN 13;
GARE;2;3;130400;GARE - SE;Gare sur échangeur de Méknès Est;
ECH;2;3;130400;A2-5;Méknès Est;
PS;2;3;130470;PS 25;Echangeur Méknès Est;
PV;2;3;132206;PV29;;
PV;2;3;133893;PV30;;
PS;2;3;134578;PS 26;RP 7043;
PS;2;3;135600;PS 27;RP 7047;
PS;2;3;136962;PS 28;Piste;
PS;2;3;138150;PS 29;RP 7055;
PV;2;3;140304;PV31;;
PS;2;3;141050;PS 30;RP 7040;
PS;2;3;142921;PS 31;RP 7065;
PV;2;3;144994;PV32;;
PS;2;3;147155;PS 32;RP 7048;
PV;2;3;148414;PV33;;
PI;2;3;148528;PI 5;RP 5015;
PS;2;3;150065;PS 34;RP 7067;
PS;2;3;152919;PS 35;RP 7069;
PS;2;3;154572;PS 36;RP 7053;
PV;2;3;156522;PV34;;
AIRE;2;3;157000;A2-R5;Aire de Fès;
PI;2;3;158160;PI 6;RR 716;
PI;2;3;161315;PI 7;RP 7075;
PV;2;3;162794;PV35;;
PS;2;3;167225;PS 37;RP 7042;
PV;2;3;169074;PV36;;
PI;2;3;170420;PI 8;RR 716;
PS;2;3;173735;PS 38;RP 5015;
PV;2;3;175346;PV37;;
PS;2;3;176900;PS 39;RP 5013;
PV;2;3;177864;PV38;;
PS;2;3;179000;PS 2;Bretelle 4 de la bifurcation;
ECH;2;3;179000;A2-6;Rabat - Fès;
BPV;2;3;179000;GARE - BPV;Gare de péage pleine voie de Fès;
BIF;2;3;179000;;Bifurcation avec l’autoroute Rabat - Fès;
PS;2;3;179001;;PS1;Bretelle 1 de la Bifurcation
PS;2;3;179620;;PS3;Piste
PV;2;3;179640;;PV1;0+640 de la bretelle 2 de la bifurcation de Fès
PV;2;3;179660;;PV2;660+60 de la bretelle 1 de la bifurcation de Fès
PS;2;3;180097;;PS4;Route de 3ème catégorie
PS;2;3;181432;;PS5;Piste
PS;2;3;182197;;PS6;Piste
PS;2;3;183637;;PS7;Piste
VIA;2;3;184560;;Pont sur oued BOUZEMLANE;
PP;2;3;185770;;PP1;
PS;2;3;186057;;PS8;Route de 3ème catégorie
ECH;2;3;187000;A2-7;Echangeur sur la RN8;
GARE;2;3;187000;;Gare de péage sur échangeur de la RN8;
PS;2;3;187816;;PS9;Route de 1ère catégorie
PS;2;3;189320;;PS10;Piste
PS;2;3;190753;;PS11;Piste
PS;2;3;192380;;PS12;Piste
PV;2;3;192920;;PV3;
PS;2;3;193567;;PS13;Piste
PV;2;3;194628;;PV 4;
ECH;2;3;195080;A2-8;Echangeur sur la RR503;
GARE;2;3;195080;;Gare de péage sur échangeur de la RR503;
PS;2;3;195080;;PS14;Echangeur
PI;2;3;196020;;PI1;Route de 2ème catégorie
AIRE;2;3;197000;;Aire de service de Fès;
PS;2;3;197380;;PS15;Aire de service
PV;2;3;198520;;PV 5;
PP;2;3;200121;;PP2;
PV;2;3;200691;;PV 6;
PV;2;3;202361;;PV 7;
PV;2;3;204434;;PV 8;
PV;2;3;206100;;PV 9;
PI;2;3;206240;;PI2;Route de 3ème catégorie
PS;2;3;207140;;PS16;Route de 3ème catégorie
PP;2;3;209234;;PP3;
PS;3;3;232657;PS 16;Passage supérieur sur PISTE;
PI;3;3;234164;PI 1;Piste;
VIA;3;3;234500;VIA;Pont sur Oued Nfiss;
PP;3;3;236018;PP4;Passage piéton N°4;
PV;3;3;237551;PV3;;
PS;3;3;239470;PS 17;Passage supérieur sur PISTE;
PS;3;3;241364;PS 18;Passage supérieur sur RP2011;
PS;3;3;243915;PS 19;Passage supérieur sur PISTE;
PS;3;3;245060;PS 20;Passage supérieur sur PISTE;
PV;3;3;247790;PV 4;;
PI;3;3;248785;PI 2;RN8;
ECH;3;3;249000;A7-SN;échangeur RN8 ;Marrakech Loudaya
PS;3;3;250388;PS 21;Passage supérieur sur PISTE;
PS;3;3;251275;PS 22;Passage supérieur sur PISTE;
PS;3;3;252206;PS 23;Passage supérieur sur PISTE;
PS;3;3;253624;PS 24;Passage supérieur sur PISTE;
PS;3;3;256923;PS 25;Passage supérieur sur PISTE;
PS;3;3;259732;PS 26;Passage supérieur sur PISTE;
PS;3;3;260986;PS 27;Passage supérieur sur PISTE;
PS;3;3;262476;PS 28;Passage supérieur sur PISTE;
VIA;3;3;263675;VIA;Pont sur Oued Khattara;
PS;3;3;263918;PS 29;Passage supérieur sur PISTE;
PV;3;3;265473;PV5;;
VIA;3;3;266275;VIA;Pont sur Oued Boulakhrass;
PS;3;3;266514;PS 30;Passage supérieur sur PISTE;
PS;3;3;269223;PS 31;Passage supérieur sur PISTE;
VIA;3;3;270366;VIA;Pont sur Chaaba;
PS;3;3;270601;PS 32;Passage supérieur sur PISTE;
PS;3;3;273087;PS 33;Passage supérieur sur PISTE;
PS;3;3;275363;PS 34;Passage supérieur sur PISTE;
PS;3;3;276810;PS 35;Passage supérieur sur PISTE;
AIRE;3;3;278235;A7-R8;Aire de Chichaoua;
PS;3;3;280954;PS 36;Passage supérieur sur RP2022;
GARE;3;3;281335;GARE - SE;Gare de péage sur échangeur de Chichaoua;
ECH;3;3;281335;A7-12;Chichaoua;
PS;3;3;283835;PS 37;Passage supérieur sur PISTE;
PS;3;3;285905;PS 38;Passage supérieur sur PISTE;
PV;3;3;287235;PV6;;
PS;3;3;289275;PS 39;Passage supérieur sur PISTE;
PV;3;3;290455;PV7;;
VIA;3;3;290935;VIA;Pont sur Oued Bouanfir;
PV;3;3;291195;PV8;;
PV;3;3;291675;PV9;;
PV;3;3;292245;PV10;;
PS;3;3;294475;PS 40;Passage supérieur sur RP2026;
PS;3;3;297195;PS 41;Passage supérieur sur PISTE;
PV;3;3;299435;PV11;;
PS;3;3;300915;PS 42;Passage supérieur sur PISTE;
PS;3;3;302935;PS 43;Passage supérieur sur PISTE;
PS;3;3;305435;PS 44;Passage supérieur sur PISTE;
PV;3;3;307695;PV12;;
PS;3;3;308948;PS 45;Passage supérieur sur RN8;
ECH;3;3;309235;A7-13;Imintanout;
GARE;3;3;309235;GARE - SE;Gare de péage sur échangeur d''Imintanount;
PS;3;3;310215;PS 46;Passage supérieur sur RR214;
PV;3;3;312005;PV13;;
PS;3;3;313135;PS 47;Passage supérieur sur PISTE;
PS;3;3;315415;PS 48;Passage supérieur sur PISTE;
PS;3;3;318965;PS 49;Passage supérieur sur PISTE;
PP;3;3;320512;PP5;Passage piéton N°5;
PP;3;3;322504;PP6;Passage piéton N°6;
PP;3;3;322973;PP7;Passage piéton N°7;
VIA;3;3;325140;VIA;Pont sur Oued Ameznaz;
PP;3;3;325852;PP8;Passage piéton N°8;
PP;3;3;326859;PP9;;
PS;3;3;328330;PS 50;Passage supérieur sur PISTE;
VIA;3;3;328724;VIA;Pont sur Oued Irohalene;
PV;3;3;331464;PV14;;
PI;3;3;332924;PI 3;RP 2034;
PS;3;3;334704;PS 51;Passage supérieur sur PISTE;
PV;3;3;335404;PV15;;
PV;3;3;336964;PV16;;
PI;3;3;338061;PI 4;RN.8;
PP;3;3;339884;PP10;Passage piéton N°10;
PV;3;3;340444;PV17;;
PI;3;3;341374;PI 5;Piste;
PI;3;3;342109;PI 6;Piste;
PP;3;3;343275;PP11;Passage piéton N°11;
PS;3;3;343849;PS 52;Passage supérieur sur AIRE DE SERVICE;
AIRE;3;3;344064;A7-R9;Aire d''Agadir;
PP;3;3;345477;PP12;Passage piéton N°12;
PP;3;3;346152;PP13;Passage piéton N°13;
PS;3;3;346944;PS 53;Passage supérieur sur PISTE;
PP;3;3;347521;PP14;Passage piéton N°14;
VIA;3;3;350449;VIA;Pont Amsri;
PI;3;3;350728;PI 7;RN.8;
PP;3;3;359204;PP15;Passage piéton N°15;
PI;3;3;360910;PI 8;RN.8;
PS;3;3;362404;PS 54;Passage supérieur sur PISTE;
VIA;3;3;362747;VIA;Pont Tagoulmint;
PV;3;3;363695;PV18;;
VIA;3;3;368124;VIA;Pont Tanamert;
PV;3;3;369238;PV19;;
PS;3;3;369359;PS 55;Passage supérieur sur ECHANGEUR;
ECH;3;3;369364;A7-14;Argana;
GARE;3;3;369364;GARE - SE;Gare de péage sur échangeur d''Argana;
PP;3;3;370495;PP16;Passage piéton N°16;
PV;3;3;372463;PV20;;
PP;3;3;373835;PP17;Passage piéton N°17;
PI;3;3;374434;PI 9;RN 8;
PS;3;3;377335;PS 56;Passage supérieur sur AIRE DE SERVICE;
PS;3;3;379147;PS 57;Passage supérieur sur PISTE;
PV;3;3;380665;PV21;;
PS;3;3;382217;PS 58;Passage supérieur sur PISTE;
PV;3;3;383775;PV22;;
PS;3;3;384249;PS 59;Passage supérieur sur ROUTE REVETUE;
PI;3;3;401055;PI 10;RP 1001;
PV;3;3;401435;PV23;;
PV;3;3;403755;PV24;;
PV;3;3;407395;PV25;;
VIA;3;3;408295;VIA;Pont 192;
PI;3;3;412215;PI 11;R.Revêtue;
PP;3;3;412862;PP18;Passage piéton N°18;
PS;3;3;164928;PS 57;Piste;
PV;3;3;165853;PV37;;
PS;3;3;168713;PS 58;Piste;
PV;3;3;170273;PV38;;
PV;3;3;172453;PV39;;
PS;3;3;173513;PS 59;Piste;
PV;3;3;175913;PV40;;
PS;3;3;177173;PS 60;Piste;
PV;3;3;179093;PV41;;
PS;3;3;180913;PS 61;Piste;
PS;3;3;182853;PS 62;Piste;
ECH;3;3;418623;A7-15;Amskroud;
VIA;3;3;419338;VIA;Pont 325;
PP;3;3;420693;PP19;Passage piéton N°19;
PS;3;3;422999;PS 61;Passage supérieur sur PISTE;
PP;3;3;423640;PP20;Passage piéton N°20;
PV;3;3;423640;PV27;;
PV;3;3;426183;PV28;Passage véhicule;
PP;3;3;426282;PP21;Passage piéton N°21;
BPV;3;3;427232;GARE - BPV;Gare de péage pleine voie d''Amskroud;
