LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_CUM;NUM;INTER
2;3;331043;12;1000
2;3;332043;13;1000
2;3;333043;14;1000
2;3;334043;15;1000
2;3;335043;16;1000
2;3;336043;17;1000
2;3;337043;18;1000
2;3;338043;19;1000
2;3;339043;20;1000
2;3;340043;21;1000
2;3;341043;22;1000
2;3;342043;23;1000
2;3;343043;24;1000
2;3;344043;25;1000
2;3;345043;26;1000
2;3;346043;27;1000
2;3;347043;28;1000
2;3;348043;29;1000
2;3;349043;30;1000
2;3;350043;31;1000
2;3;351043;32;1000
2;3;352043;33;1000
2;3;353043;34;1000
2;3;354043;35;1000
2;3;355043;36;1000
2;3;356043;37;1000
2;3;357043;38;1000
2;3;358043;39;1000
2;3;359043;40;1000
2;3;360043;41;1000
2;3;361043;42;1000
2;3;362043;43;1000
2;3;363043;44;1000
2;3;364043;45;1000
2;3;365043;46;1000
2;3;366043;47;1000
2;3;367043;48;1000
2;3;368043;49;1000
2;3;369043;50;1000
2;3;370043;51;1000
2;3;371043;52;1000
2;3;372043;53;1000
2;3;373043;54;1000
2;3;374043;55;1000
2;3;375043;56;1000
2;3;376043;57;1000
2;3;377043;58;1000
2;3;378043;59;1000
2;3;379043;60;1000
2;3;380043;61;1000
2;3;381043;62;1000
2;3;382043;63;1000
2;3;383043;64;1000
2;3;384043;65;1000
2;3;385043;66;1000
2;3;386043;67;1000
2;3;387043;68;1000
2;3;388043;69;1000
2;3;389043;70;1000
2;3;390043;71;1000
2;3;391043;0;1000
2;3;392043;1;1000
2;3;393043;2;1000
2;3;394043;3;1000
2;3;395043;4;1000
2;3;396043;5;1000
2;3;397043;6;1000
2;3;398043;7;1000
2;3;399043;8;1000
2;3;400043;9;1000
2;3;401043;10;1000
2;3;402043;11;1000
2;3;403043;12;1000
2;3;404043;13;1000
2;3;405043;14;1000
2;3;406043;15;1000
2;3;407043;16;1000
2;3;408043;17;1000
2;3;409043;18;1000
2;3;410043;19;1000
2;3;411043;20;1000
2;3;412043;21;1000
2;3;413043;22;1000
2;3;414043;23;1000
2;3;415043;24;1000
2;3;416043;25;1000
2;3;417043;26;1000
2;3;418043;27;1000
2;3;419043;28;1000
2;3;420043;29;1000
2;3;421043;30;1000
2;3;422043;31;1000
2;3;423043;32;1000
2;3;424043;33;1000
2;3;425043;34;1000
