CD_TALUS_INF__TYPE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;HAUT
Remblai;2;1;408422;408731;
Remblai;2;1;410396;410681;
Remblai;2;1;412015;413038;
Remblai;2;1;413456;413765;
Remblai;2;1;413932;414029;
Remblai;2;1;415453;415882;
Remblai;2;1;416309;416337;
Remblai;2;1;419467;419937;
Déblai;2;1;420838;421235;
Déblai;2;1;422362;423366;
Déblai;2;1;423405;424884;
Déblai;2;1;427884;427959;
Déblai;2;1;428139;428195;
Remblai;2;1;430270;430859;
Remblai;2;1;431330;432198;
Remblai;2;1;436739;436910;
Remblai;2;1;437583;437643;
Remblai;2;1;437747;438075;
Déblai;2;1;438485;439025;
Déblai;2;1;439382;440491;
Déblai;2;1;440492;440950;
Déblai;2;1;441783;442397;
Déblai;2;1;442492;442597;
Remblai;2;1;442641;442742;
Déblai;2;1;443059;444738;
Remblai;2;1;445173;445299;
Déblai;2;1;445424;445956;
Déblai;2;1;446016;446866;
Remblai;2;1;447512;447571;
Remblai;2;1;448453;448519;
Remblai;2;1;448538;448603;
Remblai;2;1;449111;449469;
Remblai;2;1;450355;450532;
Remblai;2;1;452241;452544;
Remblai;2;1;452998;453172;
Remblai;2;1;454198;454333;
Remblai;2;1;454742;456561;
Remblai;2;1;458824;459066;
Remblai;2;1;459201;459356;
Remblai;2;1;459699;460028;
Remblai;2;1;460325;460637;
Déblai;2;1;465744;466479;
Remblai;2;1;467614;467831;
Remblai;2;1;470119;470769;
Remblai;2;1;475803;476313;
Déblai;2;1;476618;478069;
Remblai;2;1;478562;478758;
Remblai;2;1;479657;480930;
Remblai;2;1;483291;483449;
Remblai;2;1;484514;484637;
Remblai;2;1;485435;486360;
Remblai;2;1;489251;489404;
Remblai;2;2;15001;15305;
Remblai;2;2;15338;15498;
Remblai;2;2;16286;16669;
Remblai;2;2;17835;18593;
Remblai;2;2;19678;19872;
Remblai;2;2;20039;20183;
Remblai;2;2;22257;22468;
Remblai;2;2;22635;23301;
Remblai;2;2;24886;25355;
Remblai;2;2;26299;26495;
Remblai;2;2;26734;27478;
Remblai;2;2;27600;27900;
Remblai;2;2;27957;28197;
Remblai;2;2;28649;28993;
Remblai;2;2;36629;37057;
Remblai;2;2;37243;37523;
Remblai;2;2;37889;38250;
Remblai;2;2;39116;39859;
Remblai;2;2;40181;40686;
Remblai;2;2;41038;41224;
Remblai;2;2;41471;41545;
Remblai;2;2;41607;41704;
Remblai;2;2;42186;43371;
Remblai;2;2;43690;43957;
Remblai;2;2;44133;44669;
Remblai;2;2;45024;45527;
Déblai;2;2;45709;46284;
Remblai;2;2;46379;47105;
Remblai;2;2;53101;53546;
Remblai;2;2;54829;54943;
Remblai;2;2;55746;56044;
Remblai;2;2;62056;62275;
Remblai;2;2;62860;63247;
Remblai;2;2;66522;66690;
Remblai;2;2;67154;67476;
Déblai;2;2;69006;69357;
Remblai;2;2;70579;71301;
Remblai;2;2;74442;75207;
Remblai;2;2;75277;75511;
Remblai;2;2;76189;76778;
Remblai;2;2;80100;81199;
Déblai;2;2;81976;82137;
Déblai;2;2;82302;82471;
Déblai;2;2;89518;90045;
Remblai;2;2;91039;91443;
Remblai;2;2;91751;92244;
Remblai;2;2;92689;93257;
Remblai;2;2;97625;97801;
Remblai;2;2;101719;101916;
Remblai;2;2;101917;101974;
Remblai;2;2;103496;103997;
Déblai;2;2;104141;104760;
Remblai;2;2;104796;105702;
Remblai;2;2;106121;106897;
Remblai;2;2;106898;106987;
Remblai;2;2;112575;113251;
Remblai;2;2;118219;118998;
Remblai;2;2;120172;120704;
Remblai;2;2;120755;120974;
Remblai;2;2;121002;121095;
Remblai;2;2;121590;121964;
Remblai;2;2;124115;124717;
Remblai;2;2;125756;126114;
Remblai;2;2;130581;131171;
Remblai;2;2;131767;132305;
