LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;CD_CLIM_INF__CODE;LIBELLE
1;3;60000;168556;Semi Aride;
5;3;184762;245262;Semi Aride;
5;3;51000;184762;Humide;
2;3;14698;495000;Semi Aride;
1;3;0;61580;Semi Aride;
5;3;0;50000;Humide;
7;3;0;28483;Humide;
3;3;0;160000;Semi Aride;
3;3;160000;310000;Aride;
3;3;310000;428000;Semi Aride;
301;3;800;13400;Aride;
103;3;693;5087;Semi Aride;
501;3;0;1738;Humide;
