LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;CD_CLASS_TRAF_INF__CODE;TENANT;ABOUTIS
1;1;1880;9100;T1+;Temara;Ain Atiq
1;1;9100;15680;T1-;Ain Atiq;Skhirat
1;1;15680;28080;T1-;Skhirat;Bouznika
1;1;28080;46780;T1-;Bouznika;Mohammedia est
1;1;46780;50680;T1-;Mohammedia est;Beni Yekhlef
1;1;50680;56100;T1-;Beni Yekhlef;Mohammedia ouest
1;1;56100;57580;T0;Mohammedia ouest;Contournement Casablanca
1;1;60000;72484;T3;Tit Mellil;Casablanca Port
1;1;72484;77389;T3;Tit Mellil;Casablanca Port
1;1;77389;80100;T0;Casablanca Port;Casablanca Centre
1;1;80100;86660;T1-;Casablanca Centre;RS114
1;1;86660;92200;T1-;RS114;pénétrante terminale nord
1;1;92200;107860;T1-;pénétrante terminale nord;Had Soualem
1;1;107860;126950;T0;Had Soualem;Bir Jdid
1;1;126950;142775;T1-;Bir Jdid;Tnine Chtouka
1;1;142775;162311;T3;Tnine Chtouka;Azemmour
1;1;162311;168556;T1-;Azemmour;El Jadida
1;2;0;1880;T1-;Hay Riad;Temara
1;2;1880;9100;T1+;Temara;Ain Atiq
1;2;9100;15680;T1-;Ain Atiq;Skhirat
1;2;15680;28080;T1-;Skhirat;Bouznika
1;2;28080;46780;T1-;Bouznika;Mohammedia est
1;2;46780;50680;T1-;Mohammedia est;Beni Yekhlef
1;2;50680;56100;T1-;Beni Yekhlef;Mohammedia ouest
1;2;56100;57580;T0;Mohammedia ouest;Contournement Casablanca
