LINE_INDEX;LAYER_NAME;LIAISON;SENS;ABS_DEB;ABS_FIN;X1;Y1;X2;Y2
0;SIG_REF_DETAIL;A63;3;131380;131440;360348.887961299;6305727.8140739;360333.208841033;6305669.89337954
0;SIG_REF_DETAIL;A63;3;131440;131520;360333.208841033;6305669.89337954;360314.772207252;6305592.08857909
0;SIG_REF_DETAIL;A63;3;131520;134695;360314.772207252;6305592.08857909;359642.860344069;6302488.95682961
0;SIG_REF_DETAIL;A63;3;134695;134785;359642.860344069;6302488.95682961;359624.265411369;6302400.92158763
0;SIG_REF_DETAIL;A63;3;134785;134845;359624.265411369;6302400.92158763;359613.998302778;6302341.82055348
0;SIG_REF_DETAIL;A63;3;134845;134905;359613.998302778;6302341.82055348;359605.495237977;6302282.51370404
0;SIG_REF_DETAIL;A63;3;134905;135000;359605.495237977;6302282.51370404;359595.026849537;6302188.03336675
0;SIG_REF_DETAIL;A63;3;135000;137807;359595.026849537;6302188.03336675;359326.019587487;6299394.14491057
0;SIG_REF_DETAIL;A63;3;137807;138900;359326.019587487;6299394.14491057;359219.823752814;6298291.03649758
0;SIG_REF_DETAIL;A63;3;138900;139023;359219.823752814;6298291.03649758;359204.856596962;6298166.96888546
0;SIG_REF_DETAIL;A63;3;139023;139087;359204.856596962;6298166.96888546;359194.228729601;6298102.76646378
0;SIG_REF_DETAIL;A63;3;139087;139166;359194.228729601;6298102.76646378;359176.726117878;6298024.79843198
0;SIG_REF_DETAIL;A63;3;139166;139220;359176.726117878;6298024.79843198;359161.826390043;6297972.2443816
0;SIG_REF_DETAIL;A63;3;139220;139272;359161.826390043;6297972.2443816;359145.905624511;6297922.83745201
0;SIG_REF_DETAIL;A63;3;139272;139402;359145.905624511;6297922.83745201;359091.295272065;6297804.90173244
0;SIG_REF_DETAIL;A63;3;139402;139513;359091.295272065;6297804.90173244;359035.457828337;6297709.29065163
0;SIG_REF_DETAIL;A63;3;139513;139610;359035.457828337;6297709.29065163;358976.903034613;6297632.30028205
0;SIG_REF_DETAIL;A63;3;139610;139709;358976.903034613;6297632.30028205;358911.460728448;6297557.9056867
0;SIG_REF_DETAIL;A63;3;139709;139809;358911.460728448;6297557.9056867;358836.932311762;6297491.78969765
0;SIG_REF_DETAIL;A63;3;139809;139909;358836.932311762;6297491.78969765;358756.559571074;6297432.66572337
0;SIG_REF_DETAIL;A63;3;139909;140039;358756.559571074;6297432.66572337;358642.601964227;6297369.22452202
0;SIG_REF_DETAIL;A63;3;140039;140163;358642.601964227;6297369.22452202;358528.82628232;6297321.24523385
0;SIG_REF_DETAIL;A63;3;140163;140345;358528.82628232;6297321.24523385;358357.576177892;6297260.21820474
0;SIG_REF_DETAIL;A63;3;140345;140508;358357.576177892;6297260.21820474;358206.224117173;6297201.35345139
0;SIG_REF_DETAIL;A63;3;140508;140793;358206.224117173;6297201.35345139;357946.169298767;6297085.4576406
0;SIG_REF_DETAIL;A63;3;140793;140984;357946.169298767;6297085.4576406;357771.520456582;6297008.04557017
0;SIG_REF_DETAIL;A63;3;140984;141145;357771.520456582;6297008.04557017;357620.353716788;6296952.85675049
0;SIG_REF_DETAIL;A63;3;141145;141333;357620.353716788;6296952.85675049;357441.813031562;6296894.8054903
0;SIG_REF_DETAIL;A63;3;141333;141529;357441.813031562;6296894.8054903;357254.250079017;6296840.25029837
0;SIG_REF_DETAIL;A63;3;141529;141746;357254.250079017;6296840.25029837;357047.43764508;6296773.27185866
0;SIG_REF_DETAIL;A63;3;141746;141987;357047.43764508;6296773.27185866;356822.428785747;6296689.47457082
0;SIG_REF_DETAIL;A63;3;141987;142209;356822.428785747;6296689.47457082;356617.71641087;6296603.25327194
0;SIG_REF_DETAIL;A63;3;142209;142474;356617.71641087;6296603.25327194;356370.512825666;6296509.54011284
