FAM_DEC_INF__FAM_DEC;CD_DEC;LIBELLE
SECT;TEST;TEST
CEX;SAUGNAC;Centre d''exploitation de Saugnac
CE;LABOUHEYRE;CE LABOUHEYRE
CE;CASTETS;CE CASTETS
GEND;LABOUHEYRE;PA LAB
GEND;CASTETS;PA CASTETS
GEND;MIOS;PA MIOS 
CONC;conccession;concession ATLANDES
SECT;NORD;LOT NORD
SECT;CENTRE;LOT CENTRE
SECT;SUD;LOTSUD
