FAM_DEC_INF__FAM_DEC;CD_DEC;LIBELLE
COMMU;54135;Colombey-Les-Belles
COMMU;54143;Crepey
COMMU;54146;Crezilles
COMMU;54189;Favieres
COMMU;54220;Gemonville
COMMU;54242;Gye
COMMU;54392;Moutrot
COMMU;54500;Selaincourt
COMMU;54528;Toul
COMMU;58044;La Celle-Sur-Loire
COMMU;58086;Cosne-Cours-Sur-Loire
COMMU;58187;Myennes
COMMU;58193;Neuvy-Sur-Loire
COMMU;58261;Saint-Pere
COMMU;68060;Burnhaupt-Le-Haut
COMMU;68314;Soppe-Le-Haut
COMMU;69005;Amberieux
COMMU;69009;Anse
COMMU;69013;Arnas
COMMU;69019;Belleville
COMMU;69033;Cailloux-Sur-Fontaines
COMMU;69055;Les Cheres
COMMU;69072;Dardilly
COMMU;69077;Drace
COMMU;69115;Limas
COMMU;69116;Limonest
COMMU;69117;Lissieu
COMMU;69122;Lucenay
COMMU;69125;Marcilly-D''Azergues
COMMU;69156;Pommiers
COMMU;69163;Quincieux
COMMU;69206;Saint-Georges-De-Reneins
COMMU;69242;Taponas
COMMU;1027;Balan
COMMU;1179;Grièges
COMMU;1424;Tramoyes
COMMU;1007;Ambronay
COMMU;1014;Arbent
COMMU;1024;Attignat
COMMU;1025;Bage-La-Ville
COMMU;1029;Beaupont
COMMU;1031;Bellignat
COMMU;1032;Beligneux
COMMU;1038;Beny
COMMU;1043;Beynost
COMMU;1049;La Boisse
COMMU;1053;Bourg-En-Bresse
COMMU;1054;Bourg-Saint-Christophe
COMMU;1062;Bressolles
COMMU;1063;Brion
COMMU;1067;Ceignes
COMMU;1069;Certines
COMMU;1072;Ceyzeriat
COMMU;1077;Challes
COMMU;1087;Charix
COMMU;1088;Charnoz-Sur-Ain
COMMU;1089;Chateau-Gaillard
COMMU;1091;Chatillon-En-Michaille
COMMU;1099;Chazey-Sur-Ain
COMMU;1105;Civrieux
COMMU;1115;Confrancon
COMMU;1134;Crottet
COMMU;1140;Curtafond
COMMU;1142;Dagneux
COMMU;1147;Domsure
COMMU;1151;Druillat
COMMU;1159;Feillens
COMMU;1170;Geovreissiat
COMMU;1171;Geovreisset
COMMU;1181;Groissiat
COMMU;1192;Izernore
COMMU;1195;Jasseron
COMMU;1200;Labalme
COMMU;1204;Lalleyriat
COMMU;1213;Leyment
COMMU;1228;Maillat
COMMU;1232;Marboz
COMMU;1237;Martignat
COMMU;1238;Massieux
COMMU;1244;Meximieux
COMMU;1248;Mionnay
COMMU;1249;Miribel
COMMU;1254;Montagnat
COMMU;1262;Montluel
COMMU;1265;Montreal-La-Cluse
COMMU;1269;Nantua
COMMU;1273;Neuville-Sur-Ain
COMMU;1274;Les Neyrolles
COMMU;1275;Neyron
COMMU;1276;Nievroz
COMMU;1283;Oyonnax
COMMU;1285;Parcieux
COMMU;1290;Perouges
COMMU;1296;Pirajoux
COMMU;1300;Le Poizat
COMMU;1301;Polliat
COMMU;1303;Poncin
COMMU;1307;Port
COMMU;1320;Replonges
COMMU;1331;Saint-Alban
COMMU;1332;Saint-Andre-De-Bage
COMMU;1343;Saint-Cyr-Sur-Menthon
COMMU;1350;Saint-Etienne-Du-Bois
COMMU;1355;Saint-Genis-Sur-Menthon
COMMU;1357;Saint-Germain-De-Joux
COMMU;1365;Saint-Jean-Sur-Veyle
COMMU;90059;Lacollonge
COMMU;90062;La Rivière
COMMU;90067;Menoncourt
COMMU;90076;Pérouse
COMMU;90080;Phaffans
COMMU;90097;Trévenans
COMMU;90100;Vauthiermont
CONCES;A105;Non Renseigné
CONCES;A19;Non Renseigné
CONCES;A26;Non Renseigné
CONCES;A31;Non Renseigné
CONCES;A311;Non Renseigné
CONCES;A36;Non Renseigné
CONCES;A39;Non Renseigné
CONCES;A391;Non Renseigné
CONCES;A40;Non Renseigné
CONCES;A404;Non Renseigné
CONCES;A42;Non Renseigné
CONCES;A432;Non Renseigné
CONCES;A46;Non Renseigné
CONCES;A5;Non Renseigné
CONCES;A5A;Non Renseigné
CONCES;A6;Non Renseigné
CONCES;A71;Non Renseigné
COMMU;38197;Janneyrias
COMMU;38557;Villette-D''Anthon
COMMU;39017;Arlay
COMMU;39049;Bersaillin
COMMU;39054;Biefmorin
COMMU;39077;Bretenieres
COMMU;39101;Champvans
COMMU;39110;La Charme
COMMU;39150;Choisey
COMMU;39159;Colonne
COMMU;39162;Condamine
COMMU;39171;Courlaoux
COMMU;39182;Crissey
COMMU;39189;Damparis
COMMU;39190;Dampierre
COMMU;39229;Fontainebrux
COMMU;39233;Foucherans
COMMU;39252;Gevry
COMMU;39279;Larnaud
COMMU;1369;Saint-Just
COMMU;1373;Saint-Martin-Du-Frene
COMMU;1374;Saint-Martin-Du-Mont
COMMU;1376;Saint-Maurice-De-Beynost
COMMU;1418;Thil
COMMU;1422;Tossiat
COMMU;1425;La Trancliere
COMMU;1430;Varambon
COMMU;1445;Villemotier
COMMU;1450;Villieu-Loyes-Mollon
COMMU;1451;Viriat
COMMU;3061;Charmes
DEPART;3;Allier
COMMU;1304;Pont-D''Ain
COMMU;3021;Begues
COMMU;3022;Bellenaves
COMMU;3027;Bezenet
COMMU;3031;Bizeneuille
COMMU;3075;Chezelle
COMMU;3097;Deneuille Les Mines
COMMU;3104;Doyet
COMMU;3118;Gannat
COMMU;3123;Givarlais
COMMU;3153;Louroux Hodement
COMMU;3158;Maillet
COMMU;3175;Monestier
