LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;CD_TPC_INF__CODE;LARGEUR
A36;3;119480;119580;ITPC;
A71;3;259429;259529;ITPC;
A31;3;17500;17600;ITPC;
A31;3;192031;192131;ITPC;
A36;3;7870;7970;ITPC;
A36;3;43770;43870;ITPC;
A5;3;132948;133048;ITPC;
A5;3;49720;49820;ITPC;
A5;3;166324;166424;ITPC;
A5;3;43750;43850;ITPC;
A39;3;82940;83040;ITPC;
A6;3;442220;442320;ITPC;
A40;3;198371;198471;ITPC;
A40;3;199136;199236;ITPC;
A40;3;199774;199874;ITPC;
A40;3;204410;204510;ITPC;
A71;3;242389;242489;ITPC;
A6;3;434490;434590;ITPC;
A36;3;123870;123970;ITPC;
A36;3;196070;196170;ITPC;
A36;3;196700;196800;ITPC;
A5;3;162307;162407;ITPC;
A6;3;105190;105290;ITPC;
A6;3;361280;361380;ITPC;
A77;3;91010;91110;ITPC;
A40;3;130820;130920;ITPC;
A36;3;205150;205250;ITPC;
A36;3;207280;207380;ITPC;
A77;3;52100;52200;ITPC;
A77;3;36450;36550;ITPC;
A36;3;211230;211330;ITPC;
A6;3;241610;241710;ITPC;
A6;3;342100;342200;ITPC;
A31;3;186271;186371;ITPC;
A5;3;131500;131600;ITPC;
A5;3;227221;227321;ITPC;
A6;3;151500;151600;ITPC;
A6;3;154090;154190;ITPC;
A6;3;174350;174450;ITPC;
A36;3;170800;170900;ITPC;
A6;3;130250;130350;ITPC;
A19;3;28650;28750;ITPC;
A36;3;200870;200970;ITPC;
A46;3;8230;8330;ITPC;
A36;3;159690;159790;ITPC;
A36;3;106820;106920;ITPC;
A71;3;363530;363630;ITPC;
A5;3;6260;6360;ITPC;
A42;3;51300;51400;ITPC;
A71;3;346557;346657;ITPC;
A404;3;19591;19691;ITPC;
A71;3;301977;302077;ITPC;
A5;3;88320;88420;ITPC;
A5;3;90384;90484;ITPC;
A5;3;92470;92570;ITPC;
A71;3;223627;223727;ITPC;
A19;3;26900;27000;ITPC;
A40;3;130076;130176;ITPC;
A31;3;98430;98530;ITPC;
A5;3;216057;216157;ITPC;
A5;3;218083;218183;ITPC;
A71;3;359540;359640;ITPC;
A31;3;83409;83509;ITPC;
A6;3;427950;428050;ITPC;
A6;3;429000;429100;ITPC;
A36;3;161190;161290;ITPC;
A71;3;327592;327692;ITPC;
A71;3;328851;328951;ITPC;
A31;3;204607;204707;ITPC;
A6;3;139950;140050;ITPC;
A36;3;36050;36150;ITPC;
A36;3;146250;146350;ITPC;
A5;3;80380;80480;ITPC;
A5;3;135334;135434;ITPC;
A6;3;158770;158870;ITPC;
A6;3;160440;160540;ITPC;
A6;3;162590;162690;ITPC;
A6;3;70800;70900;ITPC;
A406;3;850;950;ITPC;
A40;3;172392;172492;ITPC;
A36;3;79570;79670;ITPC;
A6;3;373550;373650;ITPC;
A6;3;374850;374950;ITPC;
A6;3;375750;375850;ITPC;
A46;3;12990;13090;ITPC;
A5;3;36770;36870;ITPC;
A77;3;86620;86720;ITPC;
A6;3;87800;87900;ITPC;
A6;3;89870;89970;ITPC;
A6;3;99030;99130;ITPC;
A6;3;111090;111190;ITPC;
A31;3;208669;208769;ITPC;
A31;3;210481;210581;ITPC;
A31;3;144410;144510;ITPC;
A36;3;172120;172220;ITPC;
A6;3;137750;137850;ITPC;
A6;3;321260;321360;ITPC;
A39;3;16620;16720;ITPC;
A39;3;122205;122305;ITPC;
A5A;3;4180;4280;ITPC;
A31;3;146205;146305;ITPC;
A40;3;125650;125750;ITPC;
A6;3;190780;190880;ITPC;
A6;3;255750;255850;ITPC;
A36;3;142210;142310;ITPC;
A71;3;284307;284407;ITPC;
A71;3;332307;332407;ITPC;
A6;3;318070;318170;ITPC;
A31;3;13950;14050;ITPC;
A39;3;111400;111500;ITPC;
A40;3;110880;110980;ITPC;
A40;3;162425;162525;ITPC;
A46;3;21650;21750;ITPC;
A31;3;108795;108895;ITPC;
A36;3;49600;49700;ITPC;
A36;3;114860;114960;ITPC;
A6;3;127530;127630;ITPC;
A6;3;127710;127810;ITPC;
A5;3;212340;212440;ITPC;
A36;3;50670;50770;ITPC;
A26;3;383100;383200;ITPC;
A36;3;72400;72500;ITPC;
A40;3;196594;196694;ITPC;
A36;3;178990;179090;ITPC;
A36;3;165740;165840;ITPC;
A36;3;166700;166800;ITPC;
A6;3;164750;164850;ITPC;
A26;3;387028;387128;ITPC;
A39;3;66461;66561;ITPC;
A31;3;69830;69930;ITPC;
A31;3;70428;70528;ITPC;
A77;3;100500;100600;ITPC;
A19;3;17810;17910;ITPC;
A39;3;94060;94160;ITPC;
A5;3;113580;113680;ITPC;
A5;3;31060;31160;ITPC;
A71;3;253429;253529;ITPC;
A71;3;266009;266109;ITPC;
A36;3;59860;59960;ITPC;
A31;3;149880;149980;ITPC;
A406;3;2300;2400;ITPC;
A432;3;4660;4760;ITPC;
A36;3;55590;55690;ITPC;
A40;3;168350;168450;ITPC;
A42;3;18100;18200;ITPC;
A42;3;24150;24250;ITPC;
A6;3;111370;111470;ITPC;
A36;3;73560;73660;ITPC;
A432;3;28750;28850;ITPC;
A39;3;32158;32258;ITPC;
A19;3;7550;7650;ITPC;
A6;3;58850;58950;ITPC;
A31;3;94960;95060;ITPC;
A5;3;136050;136150;ITPC;
A26;3;380024;380124;ITPC;
A5;3;102890;102990;ITPC;
A5;3;104950;105050;ITPC;
A71;3;354560;354660;ITPC;
A5;3;20920;21020;ITPC;
A36;3;30550;30650;ITPC;
A31;3;115462;115562;ITPC;
A31;3;164070;164170;ITPC;
A42;3;48400;48500;ITPC;
