LIAISON_INF__LIAISON;SENS;ABS_DEB;ABS_FIN;LIBELLE;TENANT;ABOUT
A40-6;S2;0;479;n°6 (Viriat);A40;
A406-1;E2;0;911;n°1 (Crottet - RD933);A406;
A406-1;S1;0;1002;n°1 (Crottet - RD933);A406;
A406-2;E1;0;438;n°2 ( Varennes Les Mâcon);A406;
A406-2;S2;0;820;n°2 ( Varennes Les Mâcon);A406;
A40-7;E1;0;846;n°7 (Bourg-Sud);A40;
A40-7;E2;0;806;n°7 (Bourg-Sud);A40;
A40-7;S1;0;1231;n°7 (Bourg-Sud);A40;
A40-7;S2;0;550;n°7 (Bourg-Sud);A40;
A40-8;E1;0;516;n°8 (St.Martin-du-Fresne);A40;
A40-8;E2;0;952;n°8 (St.Martin-du-Fresne);A40;
A40-8;S1;0;1400;n°8 (St.Martin-du-Fresne);A40;
A40-8;S2;0;409;n°8 (St.Martin-du-Fresne);A40;
A40-9;E1;0;1037;n°9 (Sylans);A40;
A40-9;E2;0;1310;n°9 (Sylans);A40;
A40-9;S1;0;556;n°9 (Sylans);A40;
A40-9;S2;0;668;n°9 (Sylans);A40;
A42-4;E1;0;383;n°4 (Miribel-Jonage);A42;
A42-4;E2;0;371;n°4 (Miribel-Jonage);A42;
A42-4;S1;0;343;n°4 (Miribel-Jonage);A42;
A42-4;S2;0;487;n°4 (Miribel-Jonage);A42;
A42-5;E1;0;1001;n°5 (St.Maurice-de-Beynost);A42;
A42-5;E2;0;520;n°5 (St.Maurice-de-Beynost);A42;
A42-5;S1;0;983;n°5 (St.Maurice-de-Beynost);A42;
A42-5;S2;0;366;n°5 (St.Maurice-de-Beynost);A42;
A42-5.1;E1;0;495;n° 5.1 ( Montluel-RD61);A42;
A42-5.1;E2;0;494;n° 5.1 ( Montluel-RD61);A42;
A42-5.1;S1;0;1096;n° 5.1 ( Montluel-RD61);A42;
A42-5.1;S2;0;389;n° 5.1 ( Montluel-RD61);A42;
A42-6;E1;0;595;n°6 (Balan);A42;
A42-6;E2;0;578;n°6 (Balan);A42;
A42-6;S1;0;847;n°6 (Balan);A42;
A42-6;S2;0;845;n°6 (Balan);A42;
A42-7;E1;0;604;n°7 (Pérouges);A42;
A42-7;E2;0;786;n°7 (Pérouges);A42;
A42-7;S1;0;906;n°7 (Pérouges);A42;
A42-7;S2;0;754;n°7 (Pérouges);A42;
A42-8;E1;0;674;n°8 (Ambérieu);A42;
A42-8;E2;0;693;n°8 (Ambérieu);A42;
