CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
RAU;A26;1;392962;;;
RAU;A36;2;515;51 02;;
RAU;A40;1;148770;4412;;
RAU;A31;2;79168;2-79+3;;
RAU;A5;1;68968;15 21;;
RAU;A6;1;287395;32 67;;
RAU;A77;2;94320;18058;;
RAU;A6;2;244100;32 12;;
RAU;A6;2;289375;33 02;;
RAU;A5;1;20190;15 75;;
RAU;A77;1;32342;17 35;;
RAU;A77;1;34353;17 37;;
RAU;A6;1;61635;11 31;;
RAU;A6;1;374580;41 21;;
RAU;A40;1;164280;4430B;;
RAU;A40;1;166960;4431;;
RAU;A40;1;176990;4443;;
RAU;A40;1;188540;4460;;
ACCSER;A6;2;440780;;;
ACCSER;A40;2;122580;;;
RAU;A5;2;10710;15 86;;
RAU;A42;1;20660;43.17;;
RAU;A39;2;105725;57 56;;
ACCSER;A6;1;431150;;;
ACCSER;A31;2;40715;;;
RAU;A40;1;118630;139;;
RAU;A40;2;189880;4461;;
ACCSER;A40;2;146730;;;
ACCSER;A36;1;109880;;;
ACCSER;A31;1;40600;;;
RAU;A39;2;49298;54 96;;
RAU;A6;2;277000;32 46;;
RAU;A6;2;247950;32 16;;
RAU;A40;1;163345;4428;;
ACCSER;A5;1;194100;;;
RAU;A6;2;122900;12 44;;
RAU;A39;1;139361;44 123;;
ACCSER;A5;1;89071;;;
RAU;A36;1;191376;54 47;;
RAU;A71;2;262289;22 12;;
RAU;A77;1;96090;18061;;
ACCSER;A6;1;117750;;;
RAU;A6;2;242000;32 10;;
RAU;A39;2;45483;54 90;;
RAU;A42;1;41900;43 39 ;;
ACCSER;A6;2;364600;;;
ACCSER;A31;2;89451;;;
RAU;A6;2;349925;34 58;;
RAU;A6;2;376150;41 24;;
RAU;A5;2;70478;15 20;;
RAU;A31;1;137370;;;
ACCSER;A39;2;143241;;;
ACCSER;A5;2;103740;;;
RAU;A40;1;118040;142;;
RAU;A6;1;282810;32 57;;
RAU;A36;2;86127;52 50;;
RAU;A5;2;28140;15 68;;
ACCSER;A71;1;304300;;;
RAU;A6;2;314203;34 06;;
RAU;A77;2;7016;17 02;;
RAU;A6;1;57975;11 27;;
RAU;A5;2;119660;;;
RAU;A5;2;210170;;;
RAU;A6;1;65500;11 35;;
RAU;A6;1;355240;41 01;;
RAU;A36;1;88241;52 51;;
ACCSER;A6;2;194580;;;
RAU;A5;2;155542;;;
RAU;A31;1;154000;;;
RAU;A31;2;125620;;;
ACCSER;A36;1;21120;;;
RAU;A5;2;36060;15 60;;
RAU;A5;1;193910;;;
ACCSER;A39;1;6352;;;
RAU;A31;2;127740;;;
RAU;A77;1;56580;18015;;
ACCSER;A36;2;148930;;;
RAU;A42;2;20660;43 18;;
RAU;A6;2;401150;41 50;;
RAU;A31;2;156230;;;
RAU;A6;1;106650;12 25;;
RAU;A5;2;176678;;;
RAU;A36;2;180093;54 36;;
RAU;A36;1;107709;53 03;;
RAU;A5;2;99180;;;
RAU;A36;2;122129;53 18;;
ACCSER;A77;2;90350;;;
RAU;A46;1;14000;42 77;;
RAU;A6;2;144709;14 22;;
RAU;A5;2;103380;;;
RAU;A6;1;431180;42 29;;
RAU;A6;1;419380;42 17;;
ACCSER;A6;1;236540;;;
ACCSER;A6;1;256700;;;
ACCSER;A31;1;34032;;;
RAU;A46;1;21615;43 03;;
RAU;A46;1;23210;43 05;;
RAU;A46;1;24330;43 09;;
RAU;A46;1;24930;43 13;;
RAU;A46;2;1370;42 60;;
RAU;A46;2;2905;42 62;;
ACCSER;A6;1;61400;;;
ACCSER;A40;2;171499;;;
RAU;A6;2;320120;34 18;;
RAU;A31;2;201230;;;
ACCSER;A5;2;225662;;;
RAU;A36;2;81944;52 44;;
ACCSER;A77;2;17050;;;
ACCSER;A77;2;22600;;;
ACCSER;A77;2;26120;;;
RAU;A71;1;355250;24 05;;
RAU;A31;1;66622;1-66+6;;
RAU;A6;2;437605;42 40;;
RAU;A6;2;48980;11 18;;
RAU;A71;2;316114;23 22;;
ACCSER;A36;1;126260;;;
RAU;A26;2;378672;;;
ACCSER;A39;2;31820;;;
ACCSER;A5;2;121592;;;
RAU;A31;1;201230;;;
RAU;A40;2;107620;268;;
ACCSER;A6;1;68000;;;
RAU;A36;2;213080;33 68;;
RAU;A19;1;5765;12.51;;
RAU;A19;2;1426;15 28;;
RAU;A6;1;110750;12 29;;
RAU;A6;1;305720;33 31;;
ACCSER;A6;2;148090;;;
RAU;A6;2;271000;32 40;;
RAU;A31;2;68800;2-68+9;;
RAU;A31;2;146100;;;
ACCSER;A31;1;179513;;;
RAU;A6;1;108850;12 27;;
ACCSER;A71;2;375569;;;
RAU;A36;1;66694;52 23;;
RAU;A5;1;164609;;;
RAU;A40;1;143920;4403;;
RAU;A36;2;216400;;;
RAU;A36;2;46770;51 50;;
RAU;A36;2;158285;54 10;;
RAU;A77;1;87090;18051;;
ACCSER;A77;1;52980;;;
ACCSER;A71;2;251649;;;
RAU;A71;2;252284;22 02;;
ACCSER;A6;2;89650;;;
