CD_SERVICE_INF__SERVICE;LIAISON_INF__LIAISON;CD_AIRE_INF__TYPE;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB
BRUMISATEUR;A31;AR;1;162100
BRUMISATEUR;A31;AR;1;211300
DAB;A31;AR;1;7200
DAB;A31;AR;1;162100
Information;A31;AR;1;162100
JEUX;A31;AR;1;7200
JEUX;A31;AR;1;16900
JEUX;A31;AR;1;45100
JEUX;A31;AR;1;75800
JEUX;A31;AR;1;87900
JEUX;A31;AR;1;121700
JEUX;A31;AR;1;162100
JEUX;A31;AR;1;200900
JEUX;A31;AR;1;211300
JEUX;A31;AR;1;225500
MOBILITE REDUITE;A31;AR;1;7200
MOBILITE REDUITE;A31;AR;1;16900
MOBILITE REDUITE;A31;AR;1;45100
MOBILITE REDUITE;A31;AR;1;75800
MOBILITE REDUITE;A31;AR;1;87900
MOBILITE REDUITE;A31;AR;1;121700
MOBILITE REDUITE;A31;AR;1;162100
MOBILITE REDUITE;A31;AR;1;200900
MOBILITE REDUITE;A31;AR;1;211300
MOBILITE REDUITE;A31;AR;1;225500
PANORAMA;A31;AR;1;45100
PIQUE_NIQUE;A31;AR;1;7200
PIQUE_NIQUE;A31;AR;1;16900
PIQUE_NIQUE;A31;AR;1;45100
PIQUE_NIQUE;A31;AR;1;75800
PIQUE_NIQUE;A31;AR;1;87900
PIQUE_NIQUE;A31;AR;1;121700
PIQUE_NIQUE;A31;AR;1;162100
PIQUE_NIQUE;A31;AR;1;200900
PIQUE_NIQUE;A31;AR;1;211300
PIQUE_NIQUE;A31;AR;1;225500
PRESSE;A31;AR;1;7200
PRESSE;A31;AR;1;45100
PRESSE;A31;AR;1;162100
PRODUITS_REGIONAUX;A31;AR;1;162100
TABAC;A31;AR;1;162100
TELEPHONE;A31;AR;1;7200
TELEPHONE;A31;AR;1;16900
TELEPHONE;A31;AR;1;45100
TELEPHONE;A31;AR;1;75800
TELEPHONE;A31;AR;1;87900
TELEPHONE;A31;AR;1;121700
TELEPHONE;A31;AR;1;162100
TELEPHONE;A31;AR;1;200900
TELEPHONE;A31;AR;1;211300
TELEPHONE;A31;AR;1;225500
VIDANGE;A31;AR;1;162100
VIDANGE;A31;AR;1;211300
Vente Liber-t;A31;AR;1;162100
BRUMISATEUR;A31;AR;2;17400
BRUMISATEUR;A31;AR;2;75800
BRUMISATEUR;A31;AR;2;87900
BRUMISATEUR;A31;AR;2;162100
BRUMISATEUR;A31;AR;2;211300
DAB;A31;AR;2;7800
DAB;A31;AR;2;17400
DAB;A31;AR;2;45100
DAB;A31;AR;2;121700
DAB;A31;AR;2;162100
JEUX;A31;AR;2;7800
JEUX;A31;AR;2;17400
JEUX;A31;AR;2;45100
JEUX;A31;AR;2;75800
JEUX;A31;AR;2;87900
JEUX;A31;AR;2;121700
JEUX;A31;AR;2;162100
JEUX;A31;AR;2;200900
JEUX;A31;AR;2;211300
JEUX;A31;AR;2;225500
MOBILITE REDUITE;A31;AR;2;7800
