CODE;LIBELLE
ACCSER;ACCÈS DE SERVICE
Ga;Gare sur Diffuseur
Ba;Barrière pleine voie
CE;CENTRE D''EXPLOITATION
PA;POINT D''APPUI
RAU;POSTE D''APPEL D''URGENCE
REFUGE;REFUGE
TELA;ABRI TECHNIQUE DE TÉLÉCOMMUNICATIONS
PYTDF;PYLÔNE DE TÉLÉCOMMUNICATIONS TDF
TUNNEL;TUNNEL
PY;PYLÔNE DE TÉLÉCOMMUNICATIONS NON TDF
